,id,source,datetime,payload,Lat,Lon,Depth,DetB,DetBb
66,position&bloom,EdgeFussion,2021-08-01 01:06:00,"{'Lat': 13.200000000000001, 'Lon': 29.389262614623657, 'Depth': -15.87785252292473, 'DetB': 0, 'DetBb': 0}",13.200000000000001,29.389262614623657,-15.87785252292473,0,0
67,position&bloom,EdgeFussion,2021-08-01 01:07:00,"{'Lat': 13.4, 'Lon': 33.456530317942914, 'Depth': -19.510565162951536, 'DetB': 0, 'DetBb': 0}",13.4,33.456530317942914,-19.510565162951536,0,0
68,position&bloom,EdgeFussion,2021-08-01 01:08:00,"{'Lat': 13.600000000000001, 'Lon': 37.157241273869715, 'Depth': -19.510565162951536, 'DetB': 0, 'DetBb': 0}",13.600000000000001,37.157241273869715,-19.510565162951536,0,0
69,position&bloom,EdgeFussion,2021-08-01 01:09:00,"{'Lat': 13.8, 'Lon': 40.45084971874737, 'Depth': -15.877852522924734, 'DetB': 0, 'DetBb': 0}",13.8,40.45084971874737,-15.877852522924734,0,0
70,position&bloom,EdgeFussion,2021-08-01 01:10:00,"{'Lat': 14.0, 'Lon': 43.30127018922193, 'Depth': -10.000000000000002, 'DetB': 0, 'DetBb': 0}",14.0,43.30127018922193,-10.000000000000002,0,0
71,position&bloom,EdgeFussion,2021-08-01 01:11:00,"{'Lat': 14.200000000000001, 'Lon': 45.67727288213004, 'Depth': -4.122147477075277, 'DetB': 0, 'DetBb': 0}",14.200000000000001,45.67727288213004,-4.122147477075277,0,0
72,position&bloom,EdgeFussion,2021-08-01 01:12:00,"{'Lat': 14.4, 'Lon': 47.552825814757675, 'Depth': -0.48943483704846535, 'DetB': 0, 'DetBb': 0}",14.4,47.552825814757675,-0.48943483704846535,0,0
73,position&bloom,EdgeFussion,2021-08-01 01:13:00,"{'Lat': 14.600000000000001, 'Lon': 48.907380036690284, 'Depth': -0.4894348370484636, 'DetB': 0, 'DetBb': 0}",14.600000000000001,48.907380036690284,-0.4894348370484636,0,0
74,position&bloom,EdgeFussion,2021-08-01 01:14:00,"{'Lat': 14.8, 'Lon': 49.72609476841367, 'Depth': -4.122147477075266, 'DetB': 0, 'DetBb': 0}",14.8,49.72609476841367,-4.122147477075266,0,0
75,position&bloom,EdgeFussion,2021-08-01 01:15:00,"{'Lat': 15.0, 'Lon': 50.0, 'Depth': -9.999999999999996, 'DetB': 0, 'DetBb': 0}",15.0,50.0,-9.999999999999996,0,0
76,position&bloom,EdgeFussion,2021-08-01 01:16:00,"{'Lat': 15.200000000000001, 'Lon': 49.72609476841367, 'Depth': -15.877852522924728, 'DetB': 0, 'DetBb': 0}",15.200000000000001,49.72609476841367,-15.877852522924728,0,0
77,position&bloom,EdgeFussion,2021-08-01 01:17:00,"{'Lat': 15.4, 'Lon': 48.907380036690284, 'Depth': -19.510565162951536, 'DetB': 0, 'DetBb': 0}",15.4,48.907380036690284,-19.510565162951536,0,0
78,position&bloom,EdgeFussion,2021-08-01 01:18:00,"{'Lat': 15.600000000000001, 'Lon': 47.55282581475768, 'Depth': -19.510565162951536, 'DetB': 0, 'DetBb': 0}",15.600000000000001,47.55282581475768,-19.510565162951536,0,0
